Cantidad	Descripción	Ubicación
1	Bote de basura chico con tapa	Baño 2
1	Toalla de piso	Baño 2
1	Toalla de manos	Baño 2
2	Bote acero vidrio para café azúcar	Cocina
1	Cafetera de goteo 4 tazas	Cocina
2	Cazuela con asa chicas	Cocina
1	Cesto de basura plástico cocina	Cocina
1	Coladera chica	Cocina
1	Coladera de metal grande	Cocina
1	Comal cuadrado con asa	Cocina
1	Copa de vidrio	Cocina
6	Cuchara cafetera	Cocina
6	Cuchara sopera	Cocina
1	Cucharón plástico negro	Cocina
6	Cuchillo cubierto	Cocina
2	Cuchillo mediano rojo	Cocina
1	Dispensador de aceite de vidrio	Cocina
1	Escurridor de platos	Cocina
1	Exprimidor de limones grande	Cocina
1	Jarra de agua chica de plástico naranja	Cocina
1	Jarra de barro negro	Cocina
1	Licuadora vaso vidrio	Cocina
4	Mantelitos de comedor	Cocina
1	Microondas	Cocina
1	Olla mediana con tapa	Cocina
1	Pala plástica negra	Cocina
6	Plato extendido chico	Cocina
6	Plato extendido grande	Cocina
5	Plato hondo	Cocina
1	Pocillo mediano con asa	Cocina
3	Cuarzo decorativo	Cocina
1	Refrigerador	Cocina
2	Sartén mediano	Cocina
1	Servilletero de metal	Cocina
1	Tabla de picar de plástico blanca	Cocina
1	Tapa de cazuela chica	Cocina
1	Tarro cervecero grande	Cocina
2	Taza cafetera alta	Cocina
5	Tenedor	Cocina
1	Tijera de cocina	Cocina
1	Tortillero	Cocina
3	Trapos de cocina para limpiar	Cocina
3	Trapos de cocina para secar	Cocina
4	Vaso de vidrio chico old fashion	Cocina
6	Vaso de vidrio grande tipo old fashion	Cocina
2	Vasos de vidrio grandes	Cocina
1	Cuadro de Madera "Las tarascas"	Comedor
1	Extensión eléctrica de 2 metros	Comedor
1	Maceta gris claro con una planta	Comedor
1	Maceta pequeña con planta sobre el comedor	Comedor
1	Mesa desayunadora de madera	Comedor
1	Mesa esquinera de madera para modem	Comedor
4	Sillas de tela para comedor gris claro	Comedor
2	Sillas de tela para comedor gris oscuro	Comedor
2	Tenedores	Comedor
1	Manguera de Jardín	Jardín
1	Boiler de depósito	Lavandería
1	Bote de basura con tapa plástico	Lavandería
1	Burro de planchar de metal	Lavandería
1	Escalera de 2 escalones de madera	Lavandería
1	Escalera de 2 escalones de metal	Lavandería
1	Lavadora de ropa 16kg	Lavandería
1	Secadora de ropa	Lavandería
3	Almohadas	R2
1	Archivero metálico negro	R2
1	Cama Queen Size	R2
1	Colcha Queen	R2
1	Recámara King size, cabecera y 2 burós	R2
2	Sábanas Queen	R2
1	Soporte de equipaje	R2
2	Toallas de cuerpo	R2
1	Tocador de madera de recámara	R2
1	Ventilador chico	R2
1	Zapatera de bambú	R2
6	Almohadas	RP
1	Bote de basura chico con tapa	RP
1	Burro de planchar pequeño	RP
2	Cabecera de Melamina Matrimonial	RP
2	Cama matrimonial	RP
1	Camino de mesa decorativo	RP
